open,high,low,close,volume
99.9271,100.5914,99.8108,100.2484,118276
100.0762,100.8728,98.9057,100.1792,313889
100.4313,102.4433,100.3008,100.5031,527722
101.1703,102.8262,100.1687,101.2646,703680
100.5646,101.7127,99.9796,101.1475,387688
100.9788,102.1583,100.598,101.0304,307802
101.4831,102.6287,101.0367,101.82,160504
101.4506,103.1837,100.5494,102.2038,145701
101.6747,102.6794,101.6722,101.969,218794
101.477,102.799,101.3713,102.2403,996026
101.2631,103.3581,100.1431,102.0086,397415
101.5299,103.3328,100.7675,101.7757,908876
101.1679,103.6446,100.4464,101.8967,711358
100.1923,101.2507,99.2863,100.9401,844026
99.6802,101.7233,99.6701,100.0776,633950
99.586,100.3061,99.36,99.7965,996680
98.7688,100.1447,97.7729,99.2901,832718
98.5258,101.2501,97.9406,99.4472,506468
98.3535,99.9022,98.8728,98.9932,127214
98.1141,98.6811,97.642,98.287,266401
98.3371,99.3396,98.2228,99.0198,989230
98.4797,99.8529,97.2489,98.907,902782
98.3492,100.4661,98.097,98.9407,382131
97.4943,100.2228,96.3765,98.2283,804898
97.4412,99.531,95.9629,97.9561,368905
97.1976,99.7656,96.4502,98.0116,648646
96.714,98.9318,96.1033,97.4361,154601
97.0089,99.4148,96.8402,97.624,226553
97.1729,97.4762,97.1896,97.3236,714537
96.3418,99.0377,96.0315,97.1778,365895
95.941,97.6698,96.1535,96.8769,129153
97.6661,99.6463,97.1013,97.8031,501707
97.3081,97.9478,96.4209,97.7963,509631
97.0086,98.698,96.3402,97.2675,633021
96.9242,99.1501,96.1746,97.6788,916948
96.3467,99.0622,96.272,97.0683,750571
97.0319,98.7105,96.871,97.1728,224971
95.3159,96.9581,95.2702,96.1929,936130
95.3479,96.6433,93.6268,95.5288,215671
94.83,96.3604,94.0242,95.6273,376903
95.5395,96.3885,95.585,95.9965,317132
95.7539,96.5792,95.2996,96.0822,212571
95.8661,96.4684,94.1688,96.0244,911387
95.7062,96.9714,95.6264,95.8738,346256
94.4727,96.9469,94.6266,95.1345,360979
94.2242,96.6001,94.2502,94.7746,708123
94.4222,94.6538,93.4024,94.5443,416350
94.9602,95.2327,94.2514,95.0729,519977
95.1724,95.7349,95.0849,95.2447,112695
93.6194,94.8733,93.1048,94.3632,714584
93.8133,94.715,94.327,94.5252,870536
94.2742,95.1096,93.1198,94.3327,700081
93.4339,95.1696,92.9802,93.9942,413016
94.2154,95.4564,93.3127,94.3,991514
93.9118,95.9024,94.6805,94.8155,558669
94.3741,95.9585,94.0027,95.2812,395082
94.1633,96.2745,93.9989,94.8616,148013
93.7808,96.3599,93.8847,94.707,898216
94.0611,95.5651,93.6797,94.8726,164712
94.5318,95.5314,94.1479,95.3604,867730
94.5511,95.7134,95.0907,95.1208,259300
94.7219,95.3027,94.7775,95.0279,485262
94.257,95.4095,94.0017,94.4748,124466
93.5495,94.1885,92.5207,93.8767,858079
93.6544,95.2086,93.1295,94.2829,880809
94.7884,95.4031,93.4458,94.9611,454831
94.6664,96.4025,93.4438,94.925,893052
94.9588,95.482,93.7205,95.4268,650212
95.3746,96.7171,94.854,95.6076,867441
94.6964,95.6241,94.5949,95.2851,566674
94.5426,95.4678,93.8037,95.4658,547222
95.4867,97.9732,95.7596,96.2348,659145
95.5505,97.5599,95.2945,96.2169,853897
96.4165,97.1971,96.6105,96.9992,772299
95.2014,97.0175,93.8616,95.6893,323668
95.9137,97.3236,95.2847,96.1003,699970
95.2491,97.0905,95.7188,96.1438,464181
95.7458,96.8328,94.6103,95.9943,424887
95.9489,97.8143,95.5509,96.0402,562027
94.2964,95.5367,93.1594,95.0464,770438
94.7609,95.7332,94.2013,94.9366,612907
94.7432,95.7733,93.7858,95.1151,813506
95.8258,97.3965,95.1636,95.8541,467921
95.4579,97.4279,93.9804,95.5949,268786
95.0175,96.8902,93.3968,95.1907,215684
94.8854,96.5352,93.364,94.9398,887277
94.7408,97.3711,93.7005,95.3975,917110
94.7249,96.9562,95.3581,95.5619,499869
94.9237,96.7991,93.4489,95.297,166855
94.6791,97.5192,94.305,95.5536,186037
95.3888,95.6162,93.8637,95.6022,142670
95.7611,97.3546,94.7176,96.0865,121487
95.5847,97.2134,95.3318,95.7355,442012
94.9511,97.4073,94.3525,95.5716,518033
94.9557,97.1433,95.1937,95.3756,430570
94.0305,96.3277,93.2524,94.6438,367657
94.0302,96.6835,93.9739,94.7919,685130
94.3767,95.9972,94.6189,94.9224,764004
94.2973,94.9388,92.9665,94.925,789757
93.8724,94.8298,93.0055,94.8077,208756
93.8009,95.1893,92.3129,94.1,218000
93.5305,94.7602,92.312,93.8897,254592
93.0006,94.6208,92.3343,93.7183,809229
92.7059,94.118,92.007,93.3172,788686
93.058,95.072,93.0243,93.2365,271910
93.0624,94.1569,91.6374,93.4386,817671
93.9138,96.0941,92.6194,94.3816,143675
94.0495,96.2747,92.9732,94.4689,819439
94.4194,95.5967,92.7431,94.5977,690892
93.6361,95.4544,93.4543,94.5605,878084
92.8388,95.1231,92.7058,93.6011,273292
93.1065,95.0038,91.6519,93.5878,897394
92.9379,94.275,92.6897,93.618,296178
93.9523,95.0547,93.5669,94.8496,597418
94.6172,95.2831,94.0073,94.7534,841882
94.6538,95.1662,93.6315,94.9042,304418
94.3441,95.4763,93.4466,94.8868,697820
93.5035,94.8261,93.0532,94.3025,378977
94.8376,96.1493,93.8448,94.8739,364057
94.2658,97.1588,94.6496,95.2499,274829
95.1905,97.0169,94.3577,95.6454,334009
94.8314,97.044,93.3738,95.1907,744949
95.5994,97.4603,95.8783,95.8921,681364
95.0168,96.6469,94.9233,95.1912,826224
94.693,96.3127,95.245,95.4846,151697
95.6244,97.2294,94.7334,96.5798,324438
95.6709,97.7771,94.759,96.0845,877934
94.849,97.6122,93.8978,95.8014,727403
95.0274,96.755,94.6856,95.8512,170863
95.1184,95.6176,94.676,95.5995,130118
94.1501,96.4092,93.2395,94.8241,136229
94.4234,95.4286,94.5365,94.8584,762893
93.7686,94.3471,93.5646,94.3273,295143
94.506,96.174,93.6315,94.5641,822355
93.4081,95.1392,93.5074,94.1044,485944
94.8265,96.2497,94.1368,94.8793,295895
93.6706,96.3171,94.3315,94.4877,319474
93.5017,95.409,93.9307,94.3267,668466
94.4964,95.7398,94.0624,94.7334,867995
93.7943,94.6993,92.5262,94.118,130411
93.7504,94.8421,93.8667,94.2317,159228
94.2886,96.4784,94.192,94.8853,793658
93.7942,94.9796,93.9517,94.0816,428324
93.5814,94.5009,93.0597,94.1739,176057
94.006,94.4929,93.0813,94.3038,505917
94.6392,95.6406,92.9637,94.6947,351469
94.0737,95.0062,92.438,94.0763,172800
93.3149,94.7229,92.8453,93.416,782146
92.8847,94.6191,93.4031,93.677,801876
92.8641,94.1124,93.5133,93.8255,156515
93.5238,94.9663,92.0128,93.9507,564499
93.6113,95.9375,92.7775,94.124,448320
93.6371,94.1028,93.6988,93.7839,453349
93.349,95.2796,93.6265,93.9001,618555
93.902,95.2343,93.075,94.0466,692585
93.0782,95.1866,93.2738,93.6894,552602
93.6891,94.9235,93.015,94.6223,157379
